provided_interaction_type_label,provided_interaction_type_id,mapped_to_interaction_type_label,mapped_to_interaction_type_id
roost containing / in roost of,,co-roosts with,http://purl.obolibrary.org/obo/RO_0002801
root in soil with / in soil with root of,,interacts with,http://purl.obolibrary.org/obo/RO_0002437
rotten stump containing / in rotten stump of,,interacts with,http://purl.obolibrary.org/obo/RO_0002437
silk tube containing / in silk tube of,,interacts with,http://purl.obolibrary.org/obo/RO_0002437
skin containing / on skin of,,interacts with,http://purl.obolibrary.org/obo/RO_0002437
stable containing / in stable with,,interacts with,http://purl.obolibrary.org/obo/RO_0002437
stomach of cadaver containing / on stomach of cadaver of,,interacts with,http://purl.obolibrary.org/obo/RO_0002437
thorax containing / on thorax of,,interacts with,http://purl.obolibrary.org/obo/RO_0002437
treehole containing / in treehole of,,interacts with,http://purl.obolibrary.org/obo/RO_0002437
under bark by / under bark of,,interacts with,http://purl.obolibrary.org/obo/RO_0002437
under elytral host of / parasitic under elytra of,,parasite of,http://purl.obolibrary.org/obo/RO_0002444
under elytral host of / phoretic under elytra of,,interacts with,http://purl.obolibrary.org/obo/RO_0002437
under scales host of / parasitic under scales of,,parasite of,http://purl.obolibrary.org/obo/RO_0002444
unspecified association,,interacts with,http://purl.obolibrary.org/obo/RO_0002437
wing containing / on wing of,,interacts with,http://purl.obolibrary.org/obo/RO_0002437
